Validation,Normalization,Model,Threshold,Consecutive_Hits,Early_Tol_Frac,Late_Tol_Frac,Base_T_tol_early_Frac,Base_T_tol_late_Frac,Base_T_far_early_Frac,Base_T_far_late_Frac,Score,MAE,Mean_Delta,Missed_Alerts,Tol_Early_Rate,Tol_Late_Rate,Far_Early_Rate,Far_Late_Rate
Hold-out,MinMax,Gradient Boosting,0.5,5,0.08,0.12,0.12,0.08,0.06,0.03,190.45142988560826,8.368749999999999,-7.318749999999998,0,43.8%,18.8%,37.5%,0.0%
Hold-out,MinMax,Gradient Boosting,0.5,5,0.08,0.08,0.12,0.08,0.06,0.03,190.45142988560826,8.368749999999999,-7.318749999999998,0,43.8%,18.8%,37.5%,0.0%
Hold-out,MinMax,Gradient Boosting,0.5,5,0.08,0.1,0.12,0.08,0.06,0.03,190.45142988560826,8.368749999999999,-7.318749999999998,0,43.8%,18.8%,37.5%,0.0%
Hold-out,MinMax,Gradient Boosting,0.5,5,0.06,0.1,0.12,0.08,0.06,0.03,192.3949547804492,8.368749999999999,-7.318749999999998,0,37.5%,18.8%,43.8%,0.0%
Hold-out,MinMax,Gradient Boosting,0.5,5,0.06,0.12,0.12,0.08,0.06,0.03,192.3949547804492,8.368749999999999,-7.318749999999998,0,37.5%,18.8%,43.8%,0.0%
Hold-out,MinMax,Gradient Boosting,0.5,5,0.06,0.08,0.12,0.08,0.06,0.03,192.3949547804492,8.368749999999999,-7.318749999999998,0,37.5%,18.8%,43.8%,0.0%
Hold-out,Z-Score,Gradient Boosting,0.5,5,0.06,0.08,0.12,0.08,0.06,0.03,192.3949547804492,8.368749999999999,-7.318749999999998,0,37.5%,18.8%,43.8%,0.0%
Hold-out,Z-Score,Gradient Boosting,0.5,5,0.06,0.1,0.12,0.08,0.06,0.03,192.3949547804492,8.368749999999999,-7.318749999999998,0,37.5%,18.8%,43.8%,0.0%
Hold-out,Z-Score,Gradient Boosting,0.5,5,0.06,0.12,0.12,0.08,0.06,0.03,192.3949547804492,8.368749999999999,-7.318749999999998,0,37.5%,18.8%,43.8%,0.0%
Hold-out,Z-Score,Gradient Boosting,0.7,2,0.1,0.1,0.12,0.08,0.06,0.03,201.35871735833632,9.50625,-8.38125,0,31.2%,25.0%,43.8%,0.0%
Hold-out,MinMax,Gradient Boosting,0.7,2,0.1,0.08,0.12,0.08,0.06,0.03,201.35871735833632,9.50625,-8.38125,0,31.2%,25.0%,43.8%,0.0%
Hold-out,MinMax,Gradient Boosting,0.7,2,0.1,0.1,0.12,0.08,0.06,0.03,201.35871735833632,9.50625,-8.38125,0,31.2%,25.0%,43.8%,0.0%
